Mariana Garay Cabada,http://curul501.org/congresistas/838,pri
María del Carmen García,http://curul501.org/congresistas/839,pri
María de las Nieves García Fernández,http://curul501.org/congresistas/840,pri
Josefina García Hernández,http://curul501.org/congresistas/842,pri
María Esther Garza Moreno,http://curul501.org/congresistas/844,pri
Celia Isabel Gauna Ruíz de León,http://curul501.org/congresistas/845,pri
Blanca Esthela Gómez Carmona,http://curul501.org/congresistas/846,pri
Pedro Gómez Gómez,http://curul501.org/congresistas/847,pri
Luis Gómez Gómez,http://curul501.org/congresistas/848,pri
Roy Argel Gómez Olguín,http://curul501.org/congresistas/849,pri
Eligio Cuitláhuac González Farías,http://curul501.org/congresistas/852,pri
Irazema González Martínez,http://curul501.org/congresistas/853,pri
Rafael González Reséndiz,http://curul501.org/congresistas/854,pri
Marco Antonio González Valdez,http://curul501.org/congresistas/855,pri
Francisco González Vargas,http://curul501.org/congresistas/856,pri
Francisco Grajales Palacios,http://curul501.org/congresistas/857,pri
Abel Guerra Garza,http://curul501.org/congresistas/859,pri
Javier Filiberto Guevara González,http://curul501.org/congresistas/860,pri
Samuel Gurrión Matías,http://curul501.org/congresistas/861,pri
Harvey Gutiérrez Álvarez,http://curul501.org/congresistas/862,pri
Gaudencio Hernández Burgos,http://curul501.org/congresistas/864,pri
Noé Hernández González,http://curul501.org/congresistas/865,pri
Raúl Santos Galván Villanueva,http://curul501.org/congresistas/836,pri
Rosalba Gualito Castañeda,http://curul501.org/congresistas/858,pri
Amira Gricelda Gómez Tueme,http://curul501.org/congresistas/850,pri
Cristina González Cruz,http://curul501.org/congresistas/851,pri
Lizbeth Loy Gamboa Song,http://curul501.org/congresistas/837,pri
María del Rocío García Olmedo,http://curul501.org/congresistas/843,pri
Patricio Flores Sandoval,http://curul501.org/congresistas/832,pri
Adriana Hernández Íñiguez,http://curul501.org/congresistas/866,pri
Myrna Esmeralda Hernández Morales,http://curul501.org/congresistas/867,pri
Gerardo Xavier Hernández Tapia,http://curul501.org/congresistas/868,pri
Jorge Herrera Delgado,http://curul501.org/congresistas/869,pri
Gilberto Antonio Hirata Chico,http://curul501.org/congresistas/870,pri
María de Jesús Huerta Rea,http://curul501.org/congresistas/871,pri
Juan Marcos Issa Salomón,http://curul501.org/congresistas/873,pri
Gerardo Liceaga Arteaga,http://curul501.org/congresistas/875,pri
Jaime Chris López Alvarado,http://curul501.org/congresistas/876,pri
Raúl Macías Sandoval,http://curul501.org/congresistas/879,pri
María Angélica Magaña Zepeda,http://curul501.org/congresistas/881,pri
Fernando Alfredo Maldonado Hernández,http://curul501.org/congresistas/882,pri
José Sergio Manzur Quiroga,http://curul501.org/congresistas/883,pri
José Luis Márquez Martínez,http://curul501.org/congresistas/884,pri
Esther Angélica Martínez Cárdenas,http://curul501.org/congresistas/886,pri
Nuvia Magdalena Mayorga Delgado,http://curul501.org/congresistas/887,pri
Jorge Mendoza Garza,http://curul501.org/congresistas/889,pri
Sonia Catalina Mercado Gallegos,http://curul501.org/congresistas/890,pri
Emilse Miranda Munive,http://curul501.org/congresistas/891,pri
Abraham Montes Alvarado,http://curul501.org/congresistas/893,pri
Rafael Alejandro Moreno Cárdenas,http://curul501.org/congresistas/896,pri
Pilar Moreno Montoya,http://curul501.org/congresistas/897,pri
Dulce María Muñiz Martínez,http://curul501.org/congresistas/898,pri
Luis Alfredo Murguía Lardizabal,http://curul501.org/congresistas/900,pri
José Isidro Moreno Árcega,http://curul501.org/congresistas/895,pri
María Leticia Mendoza Curiel,http://curul501.org/congresistas/888,pri
Silvia Márquez Velasco,http://curul501.org/congresistas/885,pri
José Alejandro Montano Guzmán,http://curul501.org/congresistas/892,pri
Tomás López Landero,http://curul501.org/congresistas/877,pri
Javier López Zavala,http://curul501.org/congresistas/878,pri
Jesús Morales Flores,http://curul501.org/congresistas/894,pri
Arely Madrid Tovilla,http://curul501.org/congresistas/880,pri
Alfonso Inzunza Montoya,http://curul501.org/congresistas/872,pri
Felipe de Jesús Muñoz Kapamas,http://curul501.org/congresistas/899,pri
Ma. Concepción Navarrete Vital,http://curul501.org/congresistas/903,pri
Ossiel Omar Niáves López,http://curul501.org/congresistas/905,pri
Arnoldo Ochoa González,http://curul501.org/congresistas/908,pri
Luis Olvera Correa,http://curul501.org/congresistas/909,pri
María del Carmen Ordaz Martínez,http://curul501.org/congresistas/910,pri
Guadalupe Socorro Ortega Pacheco,http://curul501.org/congresistas/911,pri
Ricardo Fidel Pacheco Rodríguez,http://curul501.org/congresistas/913,pri
Román Alfredo Padilla Fierro,http://curul501.org/congresistas/914,pri
Cesáreo Padilla Navarro,http://curul501.org/congresistas/915,pri
Zita Beatriz Pazzi Maza,http://curul501.org/congresistas/916,pri
José Noel Pérez de Alba,http://curul501.org/congresistas/918,pri
Elvia María Pérez Escalante,http://curul501.org/congresistas/919,pri
Lourdes Eulalia Quiñones Canales,http://curul501.org/congresistas/923,pri
Alejandro Rangel Segovia,http://curul501.org/congresistas/925,pri
Tania Rellstab Carreto,http://curul501.org/congresistas/926,pri
Patricia Elena Retamoza Vega,http://curul501.org/congresistas/927,pri
Mayra Karina Robles Aguirre,http://curul501.org/congresistas/928,pri
Juan Manuel Rocha Piedad,http://curul501.org/congresistas/929,pri
José Antonio Rojo García de Alba,http://curul501.org/congresistas/930,pri
Jesús Tolentino Román Bojórquez,http://curul501.org/congresistas/931,pri
Salvador Romero Valencia,http://curul501.org/congresistas/932,pri
Blas Ramón Rubio Lara,http://curul501.org/congresistas/933,pri
Genaro Ruiz Arriaga,http://curul501.org/congresistas/934,pri
Cristina Ruiz Sandoval,http://curul501.org/congresistas/936,pri
Fernando Salgado Delgado,http://curul501.org/congresistas/938,pri
Leopoldo Sánchez Cruz,http://curul501.org/congresistas/940,pri
César Reynaldo Navarro de Alba,http://curul501.org/congresistas/904,pri
Salvador Ortíz García,http://curul501.org/congresistas/912,pri
Mauricio Sahui Rivero,http://curul501.org/congresistas/937,pri
Abel Octavio Salgado Peña,http://curul501.org/congresistas/939,pri
Socorro de la Luz Quintana León,http://curul501.org/congresistas/922,pri
Hugo Mauricio Pérez Anzueto,http://curul501.org/congresistas/917,pri
Williams Oswaldo Ochoa Gallegos,http://curul501.org/congresistas/907,pri
Norma Ponce Orozco,http://curul501.org/congresistas/920,pri
Eduardo Román Quian Alcocer,http://curul501.org/congresistas/921,pri
Carlos Sánchez Romero,http://curul501.org/congresistas/941,pri
María Fernanda Schroeder Verdugo,http://curul501.org/congresistas/943,pri
María Rebeca Terán Guevara,http://curul501.org/congresistas/945,pri
Sergio Torres Félix,http://curul501.org/congresistas/947,pri
Javier Treviño Cantú,http://curul501.org/congresistas/948,pri
Jesús Antonio Valdés Palazuelos,http://curul501.org/congresistas/952,pri
Laura Guadalupe Vargas Vargas,http://curul501.org/congresistas/953,pri
Ponciano Vázquez Parissi,http://curul501.org/congresistas/955,pri
Regina Vázquez Saut,http://curul501.org/congresistas/956,pri
Marco Alonso Vela Reyes,http://curul501.org/congresistas/957,pri
Víctor Hugo Velasco Orozco,http://curul501.org/congresistas/958,pri
Maricela Velázquez Sánchez,http://curul501.org/congresistas/961,pri
Blanca María Villaseñor Gudiño,http://curul501.org/congresistas/962,pri
Alma Marina Vitela Rodríguez,http://curul501.org/congresistas/964,pri
Darío Zacarías Capuchino,http://curul501.org/congresistas/965,pri
Fernando Zamora Morales,http://curul501.org/congresistas/966,pri
Francisco Alberto Zepeda González,http://curul501.org/congresistas/967,pri
Simón Valanci Buzali,http://curul501.org/congresistas/951,pri
William Renán Sosa Altamira,http://curul501.org/congresistas/944,pri
María Guadalupe Sánchez Santiago,http://curul501.org/congresistas/942,pri
Martín de Jesús Vásquez Villanueva,http://curul501.org/congresistas/954,pri
María Guadalupe Velázquez Díaz,http://curul501.org/congresistas/959,pri
Joaquín Caballero Rosiñol,http://curul501.org/congresistas/972,pri
Jorge Terán Juárez,http://curul501.org/congresistas/946,pri
Pedro Pablo Treviño Villarreal,http://curul501.org/congresistas/949,pri
María de la Paloma Villaseñor Vargas,http://curul501.org/congresistas/963,pri
Elizabeth Oswelia Yáñez Robles,http://curul501.org/congresistas/639,pan
Xavier Azuara Zúñiga,http://curul501.org/congresistas/541,pan
Carlos Fernando Angulo Parra,http://curul501.org/congresistas/538,pan
Juan Pablo Adame Alemán,http://curul501.org/congresistas/530,pan
Marcos Aguilar Vega,http://curul501.org/congresistas/532,pan
José Martín López Cisneros,http://curul501.org/congresistas/582,pan
Fernando Rodríguez Doval,http://curul501.org/congresistas/616,pan
José Alfredo Botello Montes,http://curul501.org/congresistas/543,pan
Juan Jesús Aquino Calvo,http://curul501.org/congresistas/539,pan
Juan Carlos Uribe Padilla,http://curul501.org/congresistas/632,pan
Andrés de la Rosa Anaya,http://curul501.org/congresistas/556,pan
Consuelo Argüelles Loya,http://curul501.org/congresistas/540,pan
José Isabel Trejo Reyes,http://curul501.org/congresistas/630,pan
Rafael Acosta Croda,http://curul501.org/congresistas/529,pan
Aurora de la Luz Aguilar Rodríguez,http://curul501.org/congresistas/531,pan
Felipe de Jesús Almaguer Torres,http://curul501.org/congresistas/533,pan
Humberto Alonso Morelli,http://curul501.org/congresistas/534,pan
Martha Berenice Álvarez Tovar,http://curul501.org/congresistas/535,pan
Ricardo Anaya Cortés,http://curul501.org/congresistas/536,pan
José Guillermo Anaya Llamas,http://curul501.org/congresistas/537,pan
Juan Bueno Torio,http://curul501.org/congresistas/544,pan
Juan Francisco Cáceres de la Fuente,http://curul501.org/congresistas/545,pan
Gabriel Cárdenas Guízar,http://curul501.org/congresistas/547,pan
Genaro Carreño Muro,http://curul501.org/congresistas/548,pan
Carlos Humberto Castaños Valenzuela,http://curul501.org/congresistas/549,pan
Sergio Augusto Chan Lugo,http://curul501.org/congresistas/550,pan
